datetime,temp,precip
2023-12-08,6.6,1.46
2023-12-09,7.1,18.224
2023-12-10,6.9,9.713
2023-12-11,5.8,6.169
2023-12-12,5.8,5.545
2023-12-13,3.9,0.465
2023-12-14,4.4,0.534
2023-12-15,6.9,0
2023-12-16,9.2,0
2023-12-17,9.1,0.085
2023-12-18,10.6,3.691
2023-12-19,7.1,0.409
2023-12-20,8.1,1.509
2023-12-21,9,3.174
2023-12-22,8.4,6.072
2023-12-23,9.1,5.268
2023-12-24,10.8,4.791
2023-12-25,8.2,5.392
2023-12-26,4.6,0.898
2023-12-27,6.5,25.871
2023-12-28,7.3,12.218
2023-12-29,5.5,5.422
2023-12-30,5.1,7.068
2023-12-31,5.3,6.213
2024-01-01,4.9,19.45
2024-01-02,7.2,14.979
2024-01-03,6.2,1.498
2024-01-04,5.3,2.141
2024-01-05,4.5,0.762
2024-01-06,3,0.051
2024-01-07,2.3,0.367
2024-01-08,1.2,0
2024-01-09,1.5,0
2024-01-10,2.7,3.182
2024-01-11,3.9,0.375
2024-01-12,2.3,0.091
2024-01-13,2.9,0.032
2024-01-14,0.7,0
2024-01-15,-1.9,0
2024-01-16,-0.2,0.851
2024-01-17,-2.4,0.532
2024-01-18,-2.6,0
2024-01-19,1.1,0.091
2024-01-20,3.7,1.62
2024-01-21,7.7,19.591
2024-01-22,6.8,4.788
2024-01-23,7.8,10.183
2024-01-24,7.5,0.394
2024-01-25,7.5,2.031
2024-01-26,6,3.284
2024-01-27,5.4,0
2024-01-28,7.3,0
2024-01-29,6.7,25.099
2024-01-30,4.6,3.822
2024-01-31,4.4,4.894
2024-02-01,4.7,0
2024-02-02,9,0.824
2024-02-03,8.6,0
2024-02-04,8.9,1.371
2024-02-05,8.9,0.819
2024-02-06,7.2,5.111
2024-02-07,1.9,0.078
2024-02-08,0.2,5.383
2024-02-09,3.2,21.387
2024-02-10,5,1.942
2024-02-11,5.6,3.932
2024-02-12,4.6,1.518
2024-02-13,5.7,1.342
2024-02-14,9.7,5.724
2024-02-15,12.1,4.184
2024-02-16,8.7,0.723
2024-02-17,9.5,2.562
2024-02-18,10,3.931
2024-02-19,8.2,0.628
2024-02-20,8.3,2.28
2024-02-21,8.2,9.899
2024-02-22,5.1,11.143
2024-02-23,3.1,4.628
2024-02-24,2.8,0.168
2024-02-25,2.3,0
2024-02-26,3.5,0.765
2024-02-27,3.5,0.74
2024-02-28,6.4,0.868
2024-02-29,6.3,2.357
